"IDBUREAU","INS2008","VOT2008","VOT2008P"
"0101",1035,426,41.16
"0102",1270,666,52.44
"0103",801,492,61.42
"0104",1094,574,52.47
"0105",939,507,53.99
"0106",710,476,67.04
"0107",760,466,61.32
"0108",627,373,59.49
"0109",665,409,61.5
"0110",711,436,61.32
"0111",618,381,61.65
"0112",842,532,63.18
"0113",900,507,56.33
"0114",666,387,58.11
"0115",801,512,63.92
"0116",843,479,56.82
"0117",878,536,61.05
"0118",720,433,60.14
"0119",801,444,55.43
"0120",675,376,55.7
"0121",1030,628,60.97
"0201",1091,614,56.28
"0202",798,416,52.13
"0203",1201,666,55.45
"0204",962,561,58.32
"0205",1094,613,56.03
"0206",838,478,57.04
"0207",867,511,58.94
"0208",768,447,58.2
"0209",751,493,65.65
"0210",767,438,57.11
"0211",804,407,50.62
"0212",888,502,56.53
"0213",764,484,63.35
"0214",783,433,55.3
"0215",668,421,63.02
"0216",952,489,51.37
"0217",811,499,61.53
"0218",871,541,62.11
"0219",1174,557,47.44
"0220",934,412,44.11
"0221",1103,463,41.98
"0222",838,432,51.55
"0223",1063,572,53.81
"0224",844,438,51.9
"0301",824,422,51.21
"0302",809,358,44.25
"0303",812,421,51.85
"0304",677,360,53.18
"0305",731,363,49.66
"0306",971,510,52.52
"0307",845,483,57.16
"0308",1120,566,50.54
"0309",801,425,53.06
"0310",1041,541,51.97
"0311",881,436,49.49
"0312",925,557,60.22
"0313",820,463,56.46
"0314",828,473,57.13
"0315",919,424,46.14
"0316",800,425,53.13
"0317",767,400,52.15
"0318",638,301,47.18
"0319",1187,515,43.39
"0320",838,375,44.75
"0321",910,411,45.16
"0401",832,399,47.96
"0402",851,492,57.81
"0403",887,516,58.17
"0404",903,531,58.8
"0405",1153,655,56.81
"0406",812,439,54.06
"0407",1076,608,56.51
"0408",1142,640,56.04
"0409",954,556,58.28
"0410",883,500,56.63
"0411",938,570,60.77
"0412",905,537,59.34
"0413",1037,611,58.92
"0414",955,562,58.85
"0415",1031,599,58.1
"0416",961,473,49.22
"0417",1004,567,56.47
"0418",792,460,58.08
"0419",1396,713,51.07
"0420",914,515,56.35
"0421",1012,574,56.72
"0422",910,456,50.11
"0423",909,440,48.4
"0501",1040,620,59.62
"0502",816,496,60.78
"0503",949,578,60.91
"0504",1008,610,60.52
"0505",963,609,63.24
"0506",975,501,51.38
"0507",936,607,64.85
"0508",818,423,51.71
"0509",967,544,56.26
"0510",1200,659,54.92
"0511",1177,597,50.72
"0512",766,455,59.4
"0513",902,478,52.99
"0514",807,339,42.01
"0515",671,364,54.25
"0516",871,342,39.27
"0517",600,293,48.83
"0518",749,355,47.4
"0601",699,287,41.06
"0602",815,377,46.26
"0603",749,357,47.66
"0604",831,476,57.28
"0605",1086,624,57.46
"0606",925,506,54.7
"0607",929,510,54.9
"0608",980,555,56.63
"0609",738,432,58.54
"0610",1095,651,59.45
"0611",1023,600,58.65
"0612",935,577,61.71
"0613",984,566,57.52
"0614",933,559,59.91
"0615",863,531,61.53
"0616",1080,587,54.35
"0617",977,587,60.08
"0618",930,535,57.53
"0619",871,563,64.64
"0701",801,405,50.56
"0702",1090,567,52.02
"0703",1013,603,59.53
"0704",741,338,45.61
"0705",745,453,60.81
"0706",1084,422,38.93
"0707",1311,559,42.64
"0708",833,385,46.22
"0709",923,465,50.38
"0710",827,415,50.18
"0711",763,522,68.41
"0712",841,463,55.05
"0713",1064,652,61.28
"0714",732,398,54.37
"0715",772,464,60.1
"0801",714,390,54.62
"0802",738,345,46.75
"0803",764,428,56.02
"0804",870,481,55.29
"0805",655,408,62.29
"0806",599,358,59.77
"0807",1067,662,62.04
"0808",1187,689,58.05
"0809",843,401,47.57
"0810",815,492,60.37
"0811",1063,581,54.66
"0812",1000,608,60.8
"0813",838,301,35.92
"0814",1141,691,60.56
"0815",952,573,60.19
"0816",671,399,59.46
"0817",983,520,52.9
"0818",988,535,54.15
"0819",849,483,56.89
"0820",871,547,62.8
"0901",834,452,54.2
"0902",875,486,55.54
"0903",848,476,56.13
"0904",766,497,64.88
"0905",665,354,53.23
"0906",1008,421,41.77
"0907",990,539,54.44
"0908",723,311,43.02
"0909",759,353,46.51
"0910",774,448,57.88
"0911",927,494,53.29
"0912",773,411,53.17
"0913",959,578,60.27
"0914",895,580,64.8
"0915",825,484,58.67
"0916",993,690,69.49
"0917",734,487,66.35
"0918",1118,624,55.81
"0919",863,541,62.69
"0920",748,453,60.56
"0921",995,614,61.71
"0922",1202,765,63.64
"0923",801,465,58.05
"0924",552,290,52.54
"1001",898,452,50.33
"1002",843,470,55.75
"1003",891,397,44.56
"1004",900,474,52.67
"1005",783,434,55.43
"1006",698,395,56.59
"1007",774,401,51.81
"1008",688,402,58.43
"1009",530,285,53.77
"1101",688,377,54.8
"1102",943,473,50.16
"1103",809,497,61.43
"1104",774,501,64.73
"1105",677,409,60.41
"1106",672,413,61.46
"1107",732,456,62.3
"1108",741,240,32.39
"1109",556,238,42.81
"1110",896,504,56.25
"1111",825,339,41.09
"1112",801,422,52.68
"1113",959,545,56.83
"1114",727,380,52.27
"1115",852,538,63.15
